priority,issue,product_title,handle,inventory,image_count,largest_px
P1,low_res,Alocasia Bisma Platinum Albo Variegated,alocasia-bisma-platinum-albo-variegated-pre-order,20,1,328
P1,low_res,Alocasia Bambino Pink Lava Variegated,alocasia-bambino-pink-lava-variegated-pre-order,20,2,329
P1,low_res,Alocasia Cucullata Mint Variegated,alocasia-cucullata-mint-variegated-pre-order,20,2,329
P1,low_res,Alocasia Dragon Scale Albo Ultra Variegated,alocasia-dragon-scale-albo-ultra-variegated-pre-order,21,2,329
P1,low_res,Alocasia Freckle Ninja Variegated,alocasia-freckle-ninja-variegated-pre-order,20,2,329
P1,low_res,Philodendron Sunspot,philodendron-sunspot-pre-order,20,1,329
P1,low_res,Anthurium Black Magic (Black Velvet X AOS),anthurium-black-magic-black-velvet-x-aos-pre-order,20,2,329
P1,low_res,Alocasia Macrorrhizos Aurea Variegated,alocasia-macrorrhizos-aurea-variegated-pre-order,19,2,330
P1,low_res,Philodendron Green Lemon,philodendron-green-lemon-pre-order,20,2,330
P1,low_res,Anthurium Manta Ray X Dark Phoenix,anthurium-manta-ray-x-dark-phoenix-pre-order,20,2,330
P1,low_res,Alocasia Ninja Aurea Variegated,alocasia-ninja-aurea-variegated-pre-order,20,2,331
P1,low_res,Alocasia Scalprum Mint Variegated,alocasia-scalprum-mint-variegated-pre-order,20,2,331
P1,low_res,Alocasia Nebula Mint Variegated,alocasia-nebula-mint-variegated-pre-order,20,2,331
P1,low_res,Anthurium Magnificum x Forgetii Variegated,anthurium-magnificum-x-forgetii-variegated-pre-order,20,2,331
P1,low_res,Anthurium Tezula Red Crystallinum x Starlight,anthurium-tezula-red-crystallinum-x-starlight-pre-order,20,1,331
P1,low_res,Alocasia Green Bambino Albo Variegated,alocasia-green-bambino-albo-variegated-pre-order,19,2,332
P1,low_res,Alocasia Polly Ghost Mint Variegated,alocasia-polly-ghost-mint-variegated-pre-order,19,2,332
P1,low_res,Alocasia Sabrina Narrow Mint Variegated,alocasia-sabrina-narrow-mint-variegated-pre-order,20,2,332
P1,low_res,Alocasia Polly Aurea Variegated,alocasia-polly-aurea-variegated-pre-order,20,2,332
P1,low_res,Alocasia Polly Mint Variegated,alocasia-polly-mint-variegated-pre-order,19,1,332
P1,low_res,Alocasia Shattered Glass,alocasia-shattered-glass-pre-order,19,2,332
P1,low_res,Anthurium Black Velvet,anthurium-black-velvet-pre-order,20,1,332
